Area,mnemonic,Gross Disposable Household Income (GDHI),Balance of primary income,Primary resources,Operating surplus,Mixed income,Compensation of employees,Property income received,Primary uses,Property income paid,Balance of secondary income,Secondary resources,Imputed social contributions/Social benefits received other than social transfers in kind,Other current transfers received,Secondary uses,Current taxes on income and wealth,Social contributions/Social benefits paid,Other current transfers paid
lacu:Neath Port Talbot,W06000012,3.9,4.1,3.5,4,10.5,4.5,-5.3,-29.6,-29.6,-3.9,2,1.7,6.4,2.5,5.5,0.6,4.4
lacu:Bridgend,W06000013,4.3,4.3,3.5,3.1,10.5,4.5,-5.3,-30.2,-30.2,4.2,2.2,1.8,6.7,2.6,5.8,0.6,4.6
lacu:Vale of Glamorgan,W06000014,5.5,8.1,7.2,9.8,9.6,7.3,4.2,-25.6,-25.6,44.5,2,1.8,3.9,9.1,7.4,11.2,2.9
lacu:Cardiff,W06000015,4.6,7.4,6.5,2.2,11.1,7.2,4.2,-30.8,-30.8,30.2,1.1,0.9,3,9.1,7.5,11.2,2.1
lacu:Rhondda Cynon Taff,W06000016,4.1,2.7,2,-0.4,11,2.7,-6.2,-32.5,-32.5,-18.3,3.5,3.1,7.8,0.2,4.9,-3,5.2
lacu:Merthyr Tydfil,W06000024,3.7,2.5,2,5.3,9,2.8,-6.2,-28.7,-28.7,-16.1,2.7,2.3,7.6,0,5,-3,4.9
lacu:Caerphilly,W06000018,2.4,3.6,3,3.5,11.2,3.3,-2.4,-29.9,-29.9,28.4,0,-0.5,7.1,3.3,3.6,2.9,4.7
lacu:Blaenau Gwent,W06000019,2.4,3.7,3.2,2,9.2,3.3,-2.4,-30.9,-30.9,72.2,0.5,0,7,3.5,4.2,2.9,4.7
lacu:Torfaen,W06000020,2.2,3.8,3.2,4.8,12,3.3,-2.4,-29,-29,24.6,-0.6,-1.3,7.1,3.4,4.1,2.9,4.7
lacu:Monmouthshire,W06000021,3.7,4.2,3.4,6.2,10.6,3,0.6,-28.1,-28.1,9.3,1.5,1.2,4.8,3.3,3,3.5,3.1
lacu:Newport,W06000022,3.1,4,3.3,2.2,12.8,3,0.6,-30.8,-30.8,15.1,0.8,0.4,5.4,3.5,3.2,3.5,4.1
lacu:Aberdeen City,S12000033,0.1,-0.9,-1.1,0.4,-0.8,-0.2,-7.4,-13.9,-13.9,-4.6,3.5,3.6,2.9,-0.8,-1.4,-0.6,1.7
lacu:Aberdeenshire,S12000034,0.2,-0.8,-1.1,-0.9,6.3,-0.2,-7.4,-15,-15,-4.9,4.2,4.3,3.4,-0.4,-0.6,-0.6,2
lacu:Angus,S12000041,0.5,-0.8,-1,0.5,6.2,0.1,-8.3,-13.8,-13.8,-14,2.2,2.1,4,-1.5,1.7,-3.8,2.2
lacu:Argyll and Bute,S12000035,2.1,4.6,4.1,-4.9,12.4,5.9,-1,-18.4,-18.4,-77.7,-0.8,-1,1.9,5.4,7.8,4.7,0.9
lacu:Clackmannanshire,S12000005,1.9,1.8,1.6,1.1,15.6,1.3,-1.9,-13.3,-13.3,-13.2,1.8,1.6,5,1.7,1.3,1.7,3.1
